timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1537689416279,1330,post_login,200,OK,login_logout 4-2,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1330,0,17
1537689417582,35,get_login,200,OK,login_logout 4-28,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,35,0,17
1537689417581,37,get_login,200,OK,login_delete_logout 3-4,text,true,,1371,130,5,49,http://eds_university.eleks.com/login,37,0,18
1537689417581,38,get_login,200,OK,login_make_delete_logout 2-10,text,true,,1371,130,10,49,http://eds_university.eleks.com/login,38,0,18
1537689416319,1463,post_login,200,OK,login_logout 4-5,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1463,0,17
1537689418364,37,get_login,200,OK,login_make_delete_logout 2-4,text,true,,1371,130,10,49,http://eds_university.eleks.com/login,37,0,18
1537689416656,1869,post_login,200,OK,login_logout 4-1,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1869,0,17
1537689416912,1646,post_login,200,OK,login_make_delete_logout 2-5,text,true,,463,278,10,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1646,0,29
1537689416661,1897,post_login,200,OK,login_logout 4-4,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1897,0,17
1537689416658,1901,post_login,200,OK,login_logout 4-6,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1901,0,20
1537689416660,1899,post_login,200,OK,login_logout 4-8,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1899,0,18
1537689416909,1652,get_product_family,200,OK,login_make_logout 1-3,text,true,,8609,200,5,49,http://193.105.219.194:8080/api/gds-release/v1/product-family/,1652,0,33
1537689418527,49,get_login,200,OK,login_make_delete_logout 2-6,text,true,,1371,130,10,49,http://eds_university.eleks.com/login,49,0,24
1537689418684,38,get_login,200,OK,login_make_logout 1-4,text,true,,1371,130,5,49,http://eds_university.eleks.com/login,38,0,17
1537689419214,36,get_login,200,OK,login_logout 4-17,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,36,0,17
1537689416911,2562,get_product_list,200,OK,login_logout 4-7,text,true,,1113460,246,29,49,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,1210,0,31
1537689417181,2329,delete_product,200,OK,login_logout 4-16,text,true,,300,252,29,49,http://193.105.219.194:8080/api/gds-release/v1/products/2299,2329,0,22
1537689416981,2535,post_login,200,OK,login_logout 4-13,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,2535,0,27
1537689416911,2605,post_login,200,OK,login_logout 4-10,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,2605,0,31
1537689417281,2583,get_product_list,200,OK,login_logout 4-26,text,true,,1113460,246,28,48,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,1271,0,0
1537689417181,2797,post_login,200,OK,login_delete_logout 3-3,text,true,,463,278,5,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,2797,0,20
1537689417783,2412,get_product_list,200,OK,login_logout 4-5,text,true,,1113193,246,28,48,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,1718,0,0
1537689417181,3395,post_login,200,OK,login_logout 4-11,text,true,,463,278,28,48,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3395,0,22
